30B;29;36601;36800;8225;8465;5965;10140;10452;10452
30B;29;36801;37000;8283;8526;6026;10197;10510;10510
30B;29;37001;37200;8341;8586;6086;10254;10568;10568
30B;29;37201;37400;8399;8647;6147;10310;10626;10626
30B;29;37401;37600;8457;8710;6210;10367;10684;10684
30B;29;37601;37800;8515;8770;6270;10423;10742;10742
30B;29;37801;38000;8573;8830;6330;10480;10800;10800
30B;29;38001;38200;8631;8891;6391;10537;10858;10858
30B;29;38201;38400;8689;8951;6451;10593;10916;10916
30B;29;38401;38600;8747;9014;6514;10650;10974;10974
30B;29;38601;38800;8805;9074;6574;10706;11032;11032
30B;29;38801;39000;8863;9135;6635;10763;11090;11090
30B;29;39001;39200;8921;9195;6695;10820;11148;11148
30B;29;39201;39400;8979;9256;6756;10876;11206;11206
30B;29;39401;39600;9037;9319;6819;10933;11264;11264
30B;29;39601;39800;9095;9379;6879;10989;11322;11322
30B;29;39801;40000;9153;9439;6939;11046;11380;11380
30B;29;40001;40200;9211;9500;7000;11103;11438;11438
30B;29;40201;40400;9269;9560;7060;11159;11496;11496
30B;29;40401;40600;9327;9623;7123;11216;11554;11554
30B;29;40601;40800;9385;9683;7183;11273;11612;11612
30B;29;40801;41000;9443;9744;7244;11329;11670;11670
30B;29;41001;41200;9501;9804;7304;11386;11728;11728
30B;29;41201;41400;9559;9865;7365;11442;11786;11786
30B;29;41401;41600;9617;9928;7428;11499;11844;11844
30B;29;41601;41800;9675;9988;7488;11556;11902;11902
30B;29;41801;42000;9733;10048;7548;11612;11960;11960
30B;29;42001;42200;9791;10109;7609;11669;12018;12018
30B;29;42201;42400;9849;10169;7669;11725;12076;12076
30B;29;42401;42600;9907;10232;7732;11782;12134;12134
30B;29;42601;42800;9965;10292;7792;11839;12192;12192
30B;29;42801;43000;10023;10353;7853;11895;12250;12250
30B;29;43001;43200;10081;10413;7913;11952;12308;12308
30B;29;43201;43400;10139;10474;7974;12008;12366;12366
30B;29;43401;43600;10197;10537;8037;12065;12424;12424
30B;29;43601;43800;10295;10624;8124;12162;12522;12522
30B;29;43801;44000;10393;10711;8211;12258;12620;12620
30B;29;44001;44200;10491;10798;8298;12355;12718;12718
30B;29;44201;44400;10589;10885;8385;12451;12816;12816
30B;29;44401;44600;10687;10972;8472;12548;12914;12914
30B;29;44601;44800;10785;11059;8559;12645;13012;13012
30B;29;44801;45000;10883;11146;8646;12741;13110;13110
30B;29;45001;45200;10981;11233;8733;12838;13208;13208
30B;29;45201;45400;11079;11320;8820;12934;13306;13306
